freq correl
4.448898e+03 4.743635e-04
4.488978e+03 4.701281e-04
4.529058e+03 4.659676e-04
4.569138e+03 4.618802e-04
4.609218e+03 4.578639e-04
4.649299e+03 4.539168e-04
4.689379e+03 4.500371e-04
4.729459e+03 4.462233e-04
4.769539e+03 4.424735e-04
4.809619e+03 4.387862e-04
4.849699e+03 4.351599e-04
4.889780e+03 4.315930e-04
4.929860e+03 4.280841e-04
4.969940e+03 4.246318e-04
5.010020e+03 4.212348e-04
5.050100e+03 4.178916e-04
5.090180e+03 4.146011e-04
5.130261e+03 4.113621e-04
5.170341e+03 4.081732e-04
5.210421e+03 4.050334e-04
5.250501e+03 4.019416e-04
5.290581e+03 3.988965e-04
5.330661e+03 3.958973e-04
5.370741e+03 3.929429e-04
5.410822e+03 3.900322e-04
5.450902e+03 3.871643e-04
5.490982e+03 3.843383e-04
5.531062e+03 3.815532e-04
5.571142e+03 3.788082e-04
5.611222e+03 3.761025e-04
5.651303e+03 3.734351e-04
5.691383e+03 3.708052e-04
5.731463e+03 3.682122e-04
5.771543e+03 3.656552e-04
5.811623e+03 3.631334e-04
5.851703e+03 3.606462e-04
5.891784e+03 3.581928e-04
5.931864e+03 3.557726e-04
5.971944e+03 3.533849e-04
6.012024e+03 3.510290e-04
6.052104e+03 3.487043e-04
6.092184e+03 3.464102e-04
6.132265e+03 3.441460e-04
6.172345e+03 3.419113e-04
6.212425e+03 3.397054e-04
6.252505e+03 3.375278e-04
6.292585e+03 3.353780e-04
6.332665e+03 3.332553e-04
6.372745e+03 3.311594e-04
6.412826e+03 3.290896e-04
6.452906e+03 3.270456e-04
6.492986e+03 3.250268e-04
6.533066e+03 3.230328e-04
6.573146e+03 3.210631e-04
6.613226e+03 3.191172e-04
6.653307e+03 3.171948e-04
6.693387e+03 3.152955e-04
6.733467e+03 3.134187e-04
6.773547e+03 3.115642e-04
6.813627e+03 3.097314e-04
6.853707e+03 3.079201e-04
6.893788e+03 3.061299e-04
6.933868e+03 3.043604e-04
6.973948e+03 3.026112e-04
7.014028e+03 3.008820e-04
7.054108e+03 2.991724e-04
7.094188e+03 2.974822e-04
7.134269e+03 2.958109e-04
7.174349e+03 2.941583e-04
7.214429e+03 2.925241e-04
7.254509e+03 2.909080e-04
7.294589e+03 2.893096e-04
7.334669e+03 2.877287e-04
7.374749e+03 2.861649e-04
7.414830e+03 2.846181e-04
7.454910e+03 2.830879e-04
7.494990e+03 2.815740e-04
7.535070e+03 2.800763e-04
7.575150e+03 2.785944e-04
7.615230e+03 2.771281e-04
7.655311e+03 2.756772e-04
7.695391e+03 2.742414e-04
7.735471e+03 2.728204e-04
7.775551e+03 2.714141e-04
7.815631e+03 2.700223e-04
7.855711e+03 2.686446e-04
7.895792e+03 2.672809e-04
7.935872e+03 2.659310e-04
7.975952e+03 2.645947e-04
8.016032e+03 2.632717e-04
8.056112e+03 2.619619e-04
8.096192e+03 2.606651e-04
8.136273e+03 2.593810e-04
8.176353e+03 2.581095e-04
8.216433e+03 2.568505e-04
8.256513e+03 2.556036e-04
8.296593e+03 2.543688e-04
8.336673e+03 2.531459e-04
8.376754e+03 2.519347e-04
8.416834e+03 2.507350e-04
8.456914e+03 2.495467e-04
8.496994e+03 2.483695e-04
8.537074e+03 2.472035e-04
8.577154e+03 2.460483e-04
8.617234e+03 2.449039e-04
8.657315e+03 2.437701e-04
8.697395e+03 2.426467e-04
8.737475e+03 2.415337e-04
8.777555e+03 2.404308e-04
8.817635e+03 2.393379e-04
8.857715e+03 2.382549e-04
8.897796e+03 2.371817e-04
8.937876e+03 2.361181e-04
8.977956e+03 2.350640e-04
9.018036e+03 2.340193e-04
9.058116e+03 2.329838e-04
9.098196e+03 2.319575e-04
9.138277e+03 2.309401e-04
9.178357e+03 2.299316e-04
9.218437e+03 2.289319e-04
9.258517e+03 2.279409e-04
9.298597e+03 2.269584e-04
9.338677e+03 2.259843e-04
9.378758e+03 2.250186e-04
9.418838e+03 2.240610e-04
9.458918e+03 2.231116e-04
9.498998e+03 2.221702e-04
9.539078e+03 2.212367e-04
9.579158e+03 2.203111e-04
9.619238e+03 2.193931e-04
9.659319e+03 2.184828e-04
9.699399e+03 2.175799e-04
9.739479e+03 2.166845e-04
9.779559e+03 2.157965e-04
9.819639e+03 2.149157e-04
9.859719e+03 2.140420e-04
9.899800e+03 2.131755e-04
9.939880e+03 2.123159e-04
9.979960e+03 2.114632e-04
1.002004e+04 2.106174e-04
1.006012e+04 2.097783e-04
1.010020e+04 2.089458e-04
1.014028e+04 2.081199e-04
1.018036e+04 2.073006e-04
1.022044e+04 2.064876e-04
1.026052e+04 2.056810e-04
1.030060e+04 2.048807e-04
1.034068e+04 2.040866e-04
1.038076e+04 2.032986e-04
1.042084e+04 2.025167e-04
1.046092e+04 2.017408e-04
1.050100e+04 2.009708e-04
1.054108e+04 2.002066e-04
1.058116e+04 1.994483e-04
1.062124e+04 1.986956e-04
1.066132e+04 1.979487e-04
1.070140e+04 1.972073e-04
1.074148e+04 1.964714e-04
1.078156e+04 1.957411e-04
