strouhal PSD[dB/Hz]
484489.1393942716 -46.7870302713
485263.0837064075 -45.4391554722
486037.0280185334 -46.8801860175
486810.9723306692 -45.4478329845
487584.9166427952 -46.9495634773
488358.8609549311 -45.4698731838
489132.8052670570 -47.0006143085
489906.7495791929 -45.5132617161
490680.6938913188 -47.0337529055
491454.6382034547 -45.5649462354
492228.5825155905 -47.0474480433
493002.5268277165 -45.6321722376
493776.4711398522 -47.0472915693
494550.4154519783 -45.7162752632
495324.3597641141 -47.0237215244
496098.3040762401 -45.8111561807
496872.2483883760 -46.9905436883
497646.1927005019 -45.9211371088
498420.1370126377 -46.9493288273
499194.0813247735 -46.0379753335
499968.0256368996 -46.8951745170
500741.9699490354 -46.1686048793
501515.9142611614 -46.8377076997
502289.8585732972 -46.3102565585
503063.8028854232 -46.7743941973
503837.7471975590 -46.4524378784
504611.6915096850 -46.7153053579
505385.6358218208 -46.6043529655
506159.5801339566 -46.6586524180
506933.5244460826 -46.7588686429
507707.4687582185 -46.6006668036
508481.4130703445 -46.9127815016
509255.3573824802 -46.5550910720
510029.3016946063 -47.0655923624
510803.2460067421 -46.5169913385
511577.1903188681 -47.2113536697
512351.1346310039 -46.4870192808
513125.0789431398 -47.3556434893
513899.0232552657 -46.4675591862
514672.9675674015 -47.4882652252
515446.9118795275 -46.4586451045
516220.8561916634 -47.6066414295
516994.8005037893 -46.4669009139
517768.7448159251 -47.7150487203
518542.6891280511 -46.4835657433
519316.6334401870 -47.8076928296
520090.5777523227 -46.5122286388
520864.5220644487 -47.8863465336
521638.4663765845 -46.5580722609
522412.4106887106 -47.9451869258
523186.3550008464 -46.6139043665
523960.2993129723 -47.9887486151
524734.2436251083 -46.6831005566
525508.1879372342 -48.0215819562
526282.1322493701 -46.7634228370
527056.0765614960 -48.0354794487
527830.0208736318 -46.8563189953
528603.9651857676 -48.0361786274
529377.9094978936 -46.9622039679
530151.8538100295 -48.0271895226
530925.7981221555 -47.0734884622
531699.7424342913 -48.0116840050
532473.6867464173 -47.1961342592
533247.6310585530 -47.9888210438
534021.5753706790 -47.3278330081
534795.5196828148 -47.9571083304
535569.4639949508 -47.4638647126
536343.4083070768 -47.9281380340
537117.3526192126 -47.6057482382
537891.2969313386 -47.8995130987
538665.2412434743 -47.7496499648
539439.1855556003 -47.8692462954
540213.1298677361 -47.8984269305
540987.0741798622 -47.8434095532
541761.0184919980 -48.0462632515
542534.9628041338 -47.8229374714
543308.9071162598 -48.1883325070
544082.8514283956 -47.8112738429
544856.7957405215 -48.3306153484
545630.7400526574 -47.8038292231
546404.6843647833 -48.4680665853
547178.6286769193 -47.8030660582
547952.5729890452 -48.5971243246
548726.5173011811 -47.8154805314
549500.4616133168 -48.7162436713
550274.4059254428 -47.8356703834
551048.3502375786 -48.8262406675
551822.2945497046 -47.8644444460
552596.2388618406 -48.9285617090
553370.1831739665 -47.9035712411
554144.1274861023 -49.0157129066
554918.0717982283 -47.9536945816
555692.0161103641 -49.0896504079
556465.9604224900 -48.0150289526
557239.9047346259 -49.1543278213
558013.8490467618 -48.0825313040
558787.7933588878 -49.2079776139
559561.7376710236 -48.1610706089
560335.6819831496 -49.2489704225
561109.6262952853 -48.2509604046
561883.5706074113 -49.2768869335
562657.5149195471 -48.3472860542
563431.4592316732 -49.2989364884
564205.4035438090 -48.4516164904
564979.3478559448 -49.3143147916
565753.2921680708 -48.5629495617
566527.2364802066 -49.3198987785
567301.1807923326 -48.6823405756
568075.1251044684 -49.3207504404
568849.0694165945 -48.8068253162
569623.0137287303 -49.3197685959
570396.9580408563 -48.9329035015
571170.9023529921 -49.3180560133
571944.8466651279 -49.0651000369
572718.7909772538 -49.3130179796
573492.7352893897 -49.2002364806
574266.6796015156 -49.3077502381
575040.6239136516 -49.3349567113
575814.5682257775 -49.3084148798
576588.5125379133 -49.4682335457
577362.4568500393 -49.3110296077
578136.4011621751 -49.6002667244
578910.3454743109 -49.3163687665
579684.2897864369 -49.7322107252
580458.2340985729 -49.3269750449
581232.1784106988 -49.8573961091
582006.1227228346 -49.3443617676
582780.0670349605 -49.9753001381
583554.0113470964 -49.3690744443
584327.9556592223 -50.0896535742
585101.8999713582 -49.3976503062
585875.8442834842 -50.1969531282
586649.7885956201 -49.4344780708
587423.7329077558 -50.2938451088
588197.6772198818 -49.4809827870
588971.6215320176 -50.3799799160
589745.5658441436 -49.5333281046
590519.5101562794 -50.4596227177
591293.4544684055 -49.5928814262
592067.3987805413 -50.5308814465
592841.3430926673 -49.6598358031
593615.2874048031 -50.5890216127
594389.2317169389 -49.7360281492
595163.1760290649 -50.6381012621
595937.1203412007 -49.8189269593
596711.0646533268 -50.6804868996
597485.0089654626 -49.9058775446
598258.9532775886 -50.7151261258
599032.8975897243 -50.0017970483
599806.8419018503 -50.7399345046
600580.7862139861 -50.1041200371
601354.7305261220 -50.7580667837
602128.6748382479 -50.2096418544
602902.6191503837 -50.7745409735
603676.5634625098 -50.3192848534
604450.5077746456 -50.7857079528
605224.4520867715 -50.4328631902
605998.3963989074 -50.7920272002
606772.3407110334 -50.5513618406
607546.2850231692 -50.7972423146
608320.2293353050 -50.6692222927
609094.1736474311 -50.8030756051
609868.1179595669 -50.7861124349
610642.0622716928 -50.8101115576
611416.0065838287 -50.9056877465
612189.9508959546 -50.8156039876
612963.8952080905 -51.0231382304
613737.8395202165 -50.8244688152
614511.7838323523 -51.1362937810
615285.7281444881 -50.8388915720
616059.6724566141 -51.2449198169
616833.6167687499 -50.8551150391
617607.5610808759 -51.3502862419
618381.5053930117 -50.8755923736
619155.4497051378 -51.4512339898
619929.3940172736 -50.9009001513
620703.3383293996 -51.5419644313
621477.2826415354 -50.9332733230
622251.2269536613 -51.6250934863
623025.1712657972 -50.9715213021
623799.1155779330 -51.7024506054
624573.0598900591 -51.0124606338
625347.0042021947 -51.7709344874
626120.9485143208 -51.0616142319
626894.8928264566 -51.8289195058
627668.8371385826 -51.1177583297
628442.7814507184 -51.8773811396
629216.7257628444 -51.1777190939
629990.6700749802 -51.9201735645
630764.6143871160 -51.2431057103
631538.5586992421 -51.9542399206
632312.5030113779 -51.3137208253
633086.4473235038 -51.9781177518
633860.3916356397 -51.3914324418
634634.3359477656 -51.9958744089
635408.2802599015 -51.4716024433
636182.2245720276 -52.0089442303
636956.1688841633 -51.5528977221
637730.1131962992 -52.0174205605
638504.0575084251 -51.6406314059
639278.0018205610 -52.0188603100
640051.9461326869 -51.7300339686
640825.8904448228 -52.0176641177
641599.8347569488 -51.8188810501
642373.7790690846 -52.0172910559
643147.7233812106 -51.9081219923
643921.6676933464 -52.0135519383
644695.6120054822 -51.9974992631
645469.5563176082 -52.0089259837
646243.5006297440 -52.0868796433
647017.4449418701 -52.0055439556
647791.3892540057 -52.1706574542
648565.3335661318 -52.0049385675
649339.2778782676 -52.2503122584
650113.2221903936 -52.0069070638
650887.1665025295 -52.3285776491
651661.1108146554 -52.0086028659
652435.0551267914 -52.4003857801
653208.9994389270 -52.0157012997
653982.9437510531 -52.4647037495
654756.8880631889 -52.0280947607
655530.8323753149 -52.5222315964
656304.7766874507 -52.0421643636
657078.7209995767 -52.5741954859
657852.6653117125 -52.0612009636
658626.6096238386 -52.6187096624
659400.5539359743 -52.0847016633
660174.4982481102 -52.6531019390
660948.4425602361 -52.1138002212
661722.3868723720 -52.6806722980
662496.3311844979 -52.1465288600
663270.2754966338 -52.7023364500
664044.2198087597 -52.1809949686
664818.1641208956 -52.7165497754
665592.1084330216 -52.2222534760
666366.0527451574 -52.7224484289
667139.9970572933 -52.2668251054
667913.9413694192 -52.7224377450
668687.8856815550 -52.3124152045
669461.8299936811 -52.7194319984
670235.7743058169 -52.3611352210
671009.7186179428 -52.7107428766
671783.6629300787 -52.4116089551
672557.6072422046 -52.6973209195
673331.5515543405 -52.4643440209
674105.4958664763 -52.6820586874
674879.4401786022 -52.5158752876
675653.3844907380 -52.6658410035
676427.3288028641 -52.5659076348
677201.2731149999 -52.6487261616
677975.2174271259 -52.6176174139
